valence,energy,release_date,popularity
0.548,0.746,0.887097,0.12
0.263,0.513,0.919355,0.46
0.658,0.925,0.604839,0.31
0.162,0.979,0.951613,0.33
0.47,0.708,0.887097,0.19
0.583,0.53,0.887097,0.2
0.508,0.953,0.895161,0.25
0.761,0.521,0.943548,0.55
0.648,0.913,0.879032,0.37
0.116,0.987,0.959677,0.4
0.6,0.922,0.879032,0.66
0.669,0.577,0.91129,0.35
0.099,0.208,0.887097,0.29
0.612,0.499,0.967742,0.17
0.339,0.323,0.879032,0.59
0.503,0.614,0.903226,0.13
0.771,0.948,0.903226,0.41
0.879,0.885,0.870968,0.4
0.102,0.777,0.91129,0.4
0.395,0.851,0.887097,0.59
0.413,0.378,0.854839,0.38
0.351,0.582,0.903226,0.26
0.93,0.972,0.887097,0.48
0.124,0.539,0.943548,0.41
0.274,0.941,0.951613,0.2
0.426,0.273,0.895161,0.36
0.88,0.754,0.846774,0.51
0.039,0.492,0.903226,0.22
0.718,0.652,0.798387,0.23
0.078,0.499,0.959677,0.28
0.449,0.322,0.91129,0.28
0.239,0.717,0.935484,0.51
0.358,0.704,0.919355,0.59
0.181,0.604,0.903226,0.63
0.909,0.691,0.782258,0.3
0.287,0.262,0.887097,0.54
0.467,0.935,0.693548,0.29
0.424,0.712,0.951613,0.57
0.469,0.76,0.854839,0.26
0.346,0.932,0.903226,0.43
0.546,0.367,0.927419,0.56
0.198,0.371,0.959677,0.15
0.354,0.939,0.887097,0.39
0.674,0.905,0.790323,0.46
0.431,0.815,0.782258,0.37
0.04,0.984,0.83871,0.13
0.455,0.972,0.895161,0.19
0.382,0.722,0.943548,0.41
0.777,0.858,0.959677,0.32
0.597,0.872,0.951613,0.61
0.667,0.949,0.895161,0.39
0.581,0.543,0.935484,0.37
0.197,0.547,0.693548,0.6
0.397,0.838,0.927419,0.25
0.595,0.783,0.685484,0.41
0.347,0.477,0.564516,0.48
0.848,0.556,0.629032,0.43
0.908,0.855,0.887097,0.28
0.319,0.981,0.927419,0.29
0.122,0.562,0.959677,0.5
0.038,0.589,0.919355,0.26
0.582,0.76,0.903226,0.02
0.557,0.697,0.959677,0.26
0.596,0.951,0.903226,0.55
0.299,0.94,0.943548,0.34
0.502,0.554,0.870968,0.29
0.822,0.972,0.91129,0.14
0.219,0.79,0.951613,0.38
0.841,0.886,0.943548,0.31
0.679,0.869,0.919355,0.29
0.281,0.499,0.903226,0.46
0.225,0.727,0.822581,0.36
0.301,0.797,0.822581,0.13
0.471,0.801,0.862903,0.62
0.417,0.257,0.814516,0.06
0.202,0.77,0.895161,0.42
0.431,0.314,0.604839,0.45
0.061,0.348,0.959677,0.24
0.28,0.348,0.629032,0.56
0.122,0.48,0.830645,0.34
0.327,0.677,0.959677,0.41
0.357,0.893,0.701613,0.25
0.832,0.663,0.887097,0.19
0.319,0.668,0.741935,0.36
0.961,0.569,0.959677,0.09
0.194,0.673,0.629032,0.44
0.281,0.959,0.903226,0.28
0.257,0.652,0.919355,0.42
0.251,0.889,0.967742,0.21
0.412,0.886,0.951613,0.48
0.381,0.79,0.959677,0.31
0.506,0.646,0.854839,0.31
0.644,0.782,0.83871,0.53
0.283,0.641,0.959677,0.52
0.507,0.954,0.935484,0.27
0.549,0.782,0.766129,0.47
0.186,0.517,0.951613,0.49
0.788,0.928,0.862903,0.38
0.445,0.435,0.959677,0.52
0.581,0.929,0.959677,0.36
0.476,0.353,0.693548,0.14
0.44,0.781,0.701613,0.02
0.162,0.481,0.959677,0.51
0.136,0.042,0.943548,0.37
0.514,0.533,0.919355,0.6
0.658,0.95,0.879032,0.28
0.584,0.493,0.475806,0.53
0.709,0.563,0.491935,0.59
0.101,0.4,0.862903,0.45
0.337,0.271,0.927419,0.24
0.775,0.705,0.620968,0.41
0.097,0.309,0.774194,0.13
0.63,0.907,0.701613,0.17
0.305,0.473,0.895161,0.26
0.161,0.953,0.879032,0.42
0.106,0.8,0.927419,0.27
0.332,0.195,0.903226,0.26
0.517,0.534,0.935484,0.08
0.06,0.382,0.790323,0.34
0.713,0.683,0.879032,0.65
0.293,0.966,0.951613,0.17
0.923,0.854,0.959677,0.19
0.156,0.924,0.887097,0.25
0.59,0.924,0.927419,0.25
0.206,0.472,0.967742,0.57
0.247,0.52,0.951613,0.24
0.549,0.655,0.959677,0.26
0.556,0.928,0.903226,0.22
0.628,0.973,0.862903,0.58
0.45,0.081,0.612903,0.21
0.808,0.68,0.951613,0.28
0.607,0.919,0.846774,0.41
0.098,0.105,0.959677,0.38
0.144,0.997,0.959677,0.41
0.53,0.588,0.903226,0.2
0.788,0.911,0.733871,0.39
0.349,0.938,0.677419,0.43
0.651,0.381,0.693548,0.33
0.267,0.734,0.870968,0.21
0.365,0.898,0.903226,0.31
0.154,0.653,0.91129,0.07
0.123,0.854,0.830645,0.25
0.527,0.566,0.725806,0.69
0.494,0.82,0.806452,0.23
0.291,0.494,0.959677,0.62
0.649,0.966,0.959677,0.43
0.039,0.033,0.774194,0.4
0.039,0.724,0.943548,0.38
0.601,0.973,0.879032,0.25
0.225,0.723,0.887097,0.63
0.563,0.751,0.677419,0.4
0.257,0,0.862903,0.19
0.37,0.367,0.927419,0.48
0.427,0.786,0.879032,0.27
0.212,0.603,0.814516,0.47
0.97,0.654,0.491935,0.32
0.077,0.219,0.83871,0.38
0.852,0.711,0.959677,0.53
0.389,0.873,0.854839,0
0.933,0.701,0.620968,0.56
0.19,0.709,0.943548,0.33
0.605,0.974,0.629032,0.48
0.767,0.895,0.693548,0.17
0.228,0.423,0.83871,0.12
0.406,0.389,0.66129,0.31
0.291,0.331,0.943548,0.35
0.718,0.8,0.959677,0.28
0.233,0.252,0.959677,0.34
0.645,0.576,0.580645,0.62
0.767,0.508,0.516129,0.49
0.208,0.484,0.927419,0.29
0.354,0.971,0.645161,0.24
0.907,0.888,0.717742,0.17
0.15,0.284,0.895161,0.29
0.609,0.724,0.951613,0.36
0.299,0.756,0.943548,0.57
0.382,0.72,0.943548,0.15
0.78,0.803,0.741935,0.34
0.706,0.922,0.75,0.07
0.398,0.849,0.870968,0.26
0.68,0.35,0.927419,0.47
0.369,0.738,0.919355,0.53
0.565,0.383,0.637097,0.08
0.155,0.154,0.967742,0.54
0.914,0.845,0.854839,0.53
0.259,0.234,0.83871,0.07
0.302,0.232,0.943548,0.33
0.18,0.04,0.580645,0.57
0.717,0.87,0.870968,0.5
0.214,0.935,0.919355,0.29
0.367,0.397,0.951613,0.3
0.548,0.878,0.741935,0.6
